VisitorTeam	VisitorPTS	HomeTeam	HomePTS	Attendance
WashingtonWizards	125	OrlandoMagic	130	18846
Philadelphia76ers	119	BostonCeltics	125	19156
MemphisGrizzlies	108	DallasMavericks	94	20150
NewYorkKnicks	119	TorontoRaptors	106	19800
SanAntonioSpurs	106	NewOrleansPelicans	121	17028
DenverNuggets	119	PhoenixSuns	111	17071
GoldenStateWarriors	112	LosAngelesClippers	113	19370
MinnesotaTimberwolves	123	CharlotteHornets	117	17731
OrlandoMagic	101	BrooklynNets	129	17966
ClevelandCavaliers	110	DetroitPistons	101	18924
NewOrleansPelicans	118	ChicagoBulls	124	20511
IndianaPacers	144	MiamiHeat	129	19650
AtlantaHawks	121	MilwaukeeBucks	132	17866
OklahomaCityThunder	126	DallasMavericks	120	20277
MemphisGrizzlies	109	PhoenixSuns	116	17071
PortlandTrailBlazers	113	UtahJazz	118	18206
DenverNuggets	117	SacramentoKings	123	17829
HoustonRockets	97	LosAngelesLakers	107	18997
BostonCeltics	112	IndianaPacers	122	16693
NewOrleansPelicans	127	SacramentoKings	117	18048
NewYorkKnicks	122	MilwaukeeBucks	146	17448
PhoenixSuns	103	LosAngelesLakers	106	18664
OrlandoMagic	111	ClevelandCavaliers	121	19432
MemphisGrizzlies	116	DetroitPistons	102	12862
Philadelphia76ers	131	WashingtonWizards	126	15568
BrooklynNets	114	AtlantaHawks	113	15906
SanAntonioSpurs	94	MinnesotaTimberwolves	102	18024
MiamiHeat	112	TorontoRaptors	103	19084
CharlotteHornets	100	ChicagoBulls	111	17689
OklahomaCityThunder	101	HoustonRockets	110	16291
UtahJazz	97	DallasMavericks	147	19877
PortlandTrailBlazers	106	GoldenStateWarriors	110	18064
DenverNuggets	102	LosAngelesClippers	111	16365
IndianaPacers	128	MilwaukeeBucks	119	16837
NewOrleansPelicans	89	LosAngelesLakers	133	18017
TorontoRaptors	116	CharlotteHornets	119	11526
DetroitPistons	91	OrlandoMagic	123	18655
